-121.01255, 37.25298, Denny's, USA-United States
-117.04867, 32.77440, Denny's, USA-United States
-116.54683, 33.83954, Denny's, USA-United States
-79.74677, 39.91148, Denny's, USA-United States
-120.87726, 37.05664, Denny's, USA-United States
-119.24967, 35.79061, Denny's, USA-United States
-117.66473, 33.67997, Denny's, USA-United States
-76.83797, 42.15855, Denny's, USA-United States
-81.38446, 28.60557, Denny's, USA-United States
-120.82952, 37.77316, Denny's, USA-United States
-76.50471, 39.27801, Denny's, USA-United States
-122.17971, 47.70937, Denny's, USA-United States
-83.54460, 42.21651, Denny's, USA-United States
-80.25521, 25.74992, Denny's, USA-United States
-112.50387, 45.98443, Denny's, USA-United States
-115.10109, 36.08595, Denny's, USA-United States
-97.06394, 32.75547, Denny's, USA-United States
-89.98404, 38.50218, Denny's, USA-United States
-95.55662, 29.70602, Denny's, USA-United States
-83.67058, 41.05962, Denny's, USA-United States
-112.32640, 34.58580, Denny's, USA-United States
-118.74358, 34.27987, Denny's, USA-United States
-72.58145, 41.99818, Denny's, USA-United States
-90.49306, 38.77121, Denny's, USA-United States
-95.26979, 29.99962, Denny's, USA-United States
-118.39337, 34.00385, Denny's, USA-United States
-116.90334, 34.24367, Denny's, USA-United States
-79.78029, 40.36828, Denny's, USA-United States
-118.06983, 45.33282, Denny's, USA-United States
-90.50042, 41.46429, Denny's, USA-United States
-116.55010, 33.90565, Denny's, USA-United States
-80.24877, 26.01978, Denny's, USA-United States
-81.88849, 26.52307, Denny's, USA-United States
-76.17736, 36.85508, Denny's, USA-United States
-97.13423, 32.66672, Denny's, USA-United States
-122.19235, 47.97680, Denny's, USA-United States
-74.94876, 39.92344, Denny's, USA-United States
-87.12295, 37.72634, Denny's, USA-United States
-115.17158, 36.12149, Denny's, USA-United States
-121.20568, 45.60990, Denny's, USA-United States
-98.51901, 33.93632, Denny's, USA-United States
-81.11317, 32.01454, Denny's, USA-United States
-117.91509, 33.80846, Denny's, USA-United States
-75.42414, 39.91426, Denny's, USA-United States
-96.04248, 41.22601, Denny's, USA-United States
-81.28089, 32.00485, Denny's, USA-United States
